WifeAge,WifeEdu,HusbandEdu,NumChildren,WifeReligion,WifeWorking,HusbandOccupation,StandardOfLivingIndex,MediaExposure,ContraceptiveMethod
24,LevelTwo,LevelThree,3,Islam,No,LevelTwo,LevelThree,Good,NoContraceptive
45,LevelOne,LevelThree,10,Islam,No,LevelThree,LevelFour,Good,NoContraceptive
43,LevelTwo,LevelThree,7,Islam,No,LevelThree,LevelFour,Good,NoContraceptive
42,LevelThree,LevelTwo,9,Islam,No,LevelThree,LevelThree,Good,NoContraceptive
36,LevelThree,LevelThree,8,Islam,No,LevelThree,LevelTwo,Good,NoContraceptive
19,LevelFour,LevelFour,0,Islam,No,LevelThree,LevelThree,Good,NoContraceptive
38,LevelTwo,LevelThree,6,Islam,No,LevelThree,LevelTwo,Good,NoContraceptive
21,LevelThree,LevelThree,1,Islam,Yes,LevelThree,LevelTwo,Good,NoContraceptive
27,LevelTwo,LevelThree,3,Islam,No,LevelThree,LevelFour,Good,NoContraceptive
45,LevelOne,LevelOne,8,Islam,No,LevelTwo,LevelTwo,NotGood,NoContraceptive
38,LevelOne,LevelThree,2,Islam,Yes,LevelThree,LevelThree,NotGood,NoContraceptive
42,LevelOne,LevelFour,4,Islam,No,LevelOne,LevelThree,Good,NoContraceptive
44,LevelFour,LevelFour,1,Islam,Yes,LevelOne,LevelFour,Good,NoContraceptive
42,LevelTwo,LevelFour,1,Islam,Yes,LevelThree,LevelThree,Good,NoContraceptive
38,LevelThree,LevelFour,2,Islam,No,LevelTwo,LevelThree,Good,NoContraceptive
26,LevelTwo,LevelFour,0,Islam,No,LevelFour,LevelOne,Good,NoContraceptive
48,LevelOne,LevelOne,7,Islam,No,LevelTwo,LevelFour,Good,NoContraceptive
39,LevelTwo,LevelTwo,6,Islam,No,LevelTwo,LevelFour,Good,NoContraceptive
37,LevelTwo,LevelTwo,8,Islam,No,LevelTwo,LevelThree,Good,NoContraceptive
39,LevelTwo,LevelOne,5,Islam,No,LevelTwo,LevelOne,NotGood,NoContraceptive
26,LevelThree,LevelFour,1,Islam,Yes,LevelFour,LevelOne,Good,NoContraceptive
24,LevelThree,LevelFour,0,Islam,Yes,LevelThree,LevelOne,Good,NoContraceptive
46,LevelFour,LevelFour,1,NonIslam,No,LevelOne,LevelFour,Good,NoContraceptive
39,LevelFour,LevelFour,1,Islam,No,LevelOne,LevelFour,Good,NoContraceptive
48,LevelFour,LevelFour,5,Islam,No,LevelOne,LevelFour,Good,NoContraceptive
40,LevelTwo,LevelFour,8,Islam,No,LevelThree,LevelThree,Good,NoContraceptive
38,LevelFour,LevelFour,1,Islam,Yes,LevelOne,LevelFour,Good,NoContraceptive
29,LevelFour,LevelFour,0,Islam,Yes,LevelOne,LevelFour,Good,NoContraceptive
24,LevelFour,LevelFour,0,Islam,Yes,LevelTwo,LevelTwo,Good,NoContraceptive
43,LevelOne,LevelTwo,8,Islam,No,LevelTwo,LevelFour,Good,NoContraceptive
31,LevelThree,LevelFour,2,Islam,No,LevelOne,LevelFour,Good,NoContraceptive
31,LevelFour,LevelFour,2,Islam,No,LevelThree,LevelTwo,Good,NoContraceptive
26,LevelTwo,LevelFour,0,Islam,Yes,LevelOne,LevelTwo,Good,NoContraceptive
33,LevelTwo,LevelTwo,2,Islam,No,LevelThree,LevelOne,Good,NoContraceptive
24,LevelTwo,LevelThree,1,Islam,No,LevelThree,LevelThree,Good,NoContraceptive
42,LevelOne,LevelThree,9,Islam,No,LevelThree,LevelTwo,NotGood,NoContraceptive
43,LevelOne,LevelTwo,8,Islam,Yes,LevelThree,LevelOne,Good,NoContraceptive
25,LevelThree,LevelThree,4,Islam,No,LevelThree,LevelTwo,Good,NoContraceptive
42,LevelTwo,LevelTwo,3,Islam,No,LevelThree,LevelFour,Good,NoContraceptive
28,LevelTwo,LevelTwo,1,Islam,No,LevelTwo,LevelFour,Good,NoContraceptive
28,LevelOne,LevelOne,3,Islam,No,LevelThree,LevelOne,Good,NoContraceptive
47,LevelTwo,LevelThree,0,Islam,Yes,LevelOne,LevelThree,Good,NoContraceptive
48,LevelTwo,LevelFour,2,Islam,No,LevelOne,LevelThree,Good,NoContraceptive
40,LevelFour,LevelFour,2,NonIslam,No,LevelOne,LevelFour,Good,NoContraceptive
28,LevelTwo,LevelTwo,1,Islam,No,LevelThree,LevelTwo,Good,NoContraceptive
25,LevelOne,LevelFour,1,Islam,No,LevelTwo,LevelOne,Good,NoContraceptive
32,LevelFour,LevelFour,2,Islam,No,LevelTwo,LevelThree,Good,NoContraceptive
45,LevelFour,LevelFour,0,Islam,No,LevelTwo,LevelFour,Good,NoContraceptive
26,LevelFour,LevelFour,1,Islam,No,LevelOne,LevelFour,Good,NoContraceptive
26,LevelFour,LevelFour,0,Islam,Yes,LevelOne,LevelFour,Good,NoContraceptive
31,LevelFour,LevelFour,0,Islam,Yes,LevelOne,LevelFour,Good,NoContraceptive
49,LevelFour,LevelFour,7,NonIslam,No,LevelTwo,LevelFour,Good,NoContraceptive
40,LevelThree,LevelFour,8,Islam,No,LevelThree,LevelThree,Good,NoContraceptive
34,LevelFour,LevelFour,1,NonIslam,Yes,LevelTwo,LevelThree,Good,NoContraceptive
36,LevelTwo,LevelFour,5,Islam,No,LevelTwo,LevelThree,Good,NoContraceptive
20,LevelTwo,LevelTwo,2,Islam,No,LevelTwo,LevelTwo,NotGood,NoContraceptive
43,LevelFour,LevelFour,5,Islam,Yes,LevelOne,LevelFour,Good,NoContraceptive
37,LevelThree,LevelFour,7,Islam,No,LevelTwo,LevelOne,Good,NoContraceptive
21,LevelTwo,LevelThree,0,Islam,No,LevelThree,LevelFour,Good,NoContraceptive
49,LevelFour,LevelFour,6,Islam,No,LevelOne,LevelTwo,Good,NoContraceptive
42,LevelThree,LevelThree,10,Islam,No,LevelThree,LevelThree,Good,NoContraceptive
20,LevelTwo,LevelThree,1,Islam,No,LevelTwo,LevelThree,Good,NoContraceptive
47,LevelOne,LevelTwo,2,Islam,Yes,LevelOne,LevelThree,Good,NoContraceptive
22,LevelTwo,LevelThree,1,Islam,No,LevelTwo,LevelOne,Good,NoContraceptive
27,LevelTwo,LevelFour,1,Islam,Yes,LevelOne,LevelThree,Good,NoContraceptive
24,LevelTwo,LevelFour,1,Islam,No,LevelThree,LevelOne,Good,NoContraceptive
44,LevelFour,LevelTwo,8,Islam,No,LevelThree,LevelThree,Good,NoContraceptive
30,LevelTwo,LevelThree,3,Islam,No,LevelThree,LevelOne,Good,NoContraceptive
23,LevelThree,LevelFour,2,Islam,No,LevelThree,LevelFour,Good,NoContraceptive
25,LevelFour,LevelFour,1,Islam,Yes,LevelThree,LevelThree,Good,NoContraceptive
47,LevelTwo,LevelThree,4,Islam,No,LevelTwo,LevelThree,Good,NoContraceptive
48,LevelTwo,LevelThree,8,Islam,No,LevelOne,LevelFour,Good,NoContraceptive
29,LevelTwo,LevelThree,1,Islam,No,LevelOne,LevelOne,Good,NoContraceptive
29,LevelTwo,LevelThree,1,Islam,No,LevelOne,LevelTwo,Good,NoContraceptive
21,LevelThree,LevelFour,0,Islam,No,LevelTwo,LevelThree,Good,NoContraceptive
21,LevelThree,LevelFour,1,Islam,No,LevelTwo,LevelThree,Good,NoContraceptive
29,LevelFour,LevelFour,0,Islam,Yes,LevelTwo,LevelFour,Good,NoContraceptive
45,LevelThree,LevelFour,3,Islam,No,LevelOne,LevelFour,Good,NoContraceptive
33,LevelTwo,LevelThree,2,Islam,No,LevelThree,LevelTwo,Good,NoContraceptive
38,LevelFour,LevelFour,1,Islam,Yes,LevelOne,LevelFour,Good,NoContraceptive
24,LevelFour,LevelFour,0,NonIslam,No,LevelOne,LevelFour,Good,NoContraceptive
49,LevelFour,LevelFour,6,NonIslam,Yes,LevelOne,LevelFour,Good,NoContraceptive
24,LevelTwo,LevelFour,1,Islam,Yes,LevelFour,LevelFour,Good,NoContraceptive
28,LevelFour,LevelFour,0,NonIslam,Yes,LevelOne,LevelFour,Good,NoContraceptive
30,LevelFour,LevelFour,2,Islam,No,LevelOne,LevelFour,Good,NoContraceptive
33,LevelFour,LevelFour,2,Islam,No,LevelOne,LevelFour,Good,NoContraceptive
25,LevelFour,LevelFour,1,Islam,No,LevelOne,LevelThree,Good,NoContraceptive
35,LevelFour,LevelFour,3,NonIslam,No,LevelOne,LevelFour,Good,NoContraceptive
27,LevelTwo,LevelFour,4,Islam,No,LevelOne,LevelFour,Good,NoContraceptive
24,LevelTwo,LevelTwo,3,Islam,Yes,LevelTwo,LevelOne,Good,NoContraceptive
25,LevelTwo,LevelThree,0,Islam,No,LevelTwo,LevelOne,Good,NoContraceptive
46,LevelTwo,LevelFour,6,Islam,No,LevelOne,LevelFour,Good,NoContraceptive
26,LevelTwo,LevelTwo,3,Islam,No,LevelTwo,LevelOne,Good,NoContraceptive
38,LevelTwo,LevelTwo,1,Islam,Yes,LevelThree,LevelTwo,Good,NoContraceptive
47,LevelOne,LevelTwo,3,Islam,No,LevelOne,LevelThree,Good,NoContraceptive
41,LevelOne,LevelThree,10,Islam,No,LevelTwo,LevelThree,NotGood,NoContraceptive
41,LevelTwo,LevelThree,1,Islam,Yes,LevelTwo,LevelThree,Good,NoContraceptive
28,LevelFour,LevelFour,5,Islam,No,LevelTwo,LevelOne,Good,NoContraceptive
17,LevelTwo,LevelTwo,3,Islam,No,LevelThree,LevelOne,Good,NoContraceptive
27,LevelTwo,LevelThree,5,Islam,No,LevelTwo,LevelOne,Good,NoContraceptive
