CheckingStatus,Duration,CreditHistory,Purpose,CreditAmount,SavingsStatus,Employment,InstallmentCommitment,PersonalStatus,OtherParties,ResidenceSince,PropertyMagnitude,Age,OtherPaymentPlans,Housing,ExistingCredits,Job,NumDependents,OwnTelephone,ForeignWorker,Class
<0,6.0,OtherBankCredit,RadioOrTV,1169.0,NoSavings,>=7,4.0,SingleMale,none,4.0,RealEstate,67.0,None,Own,2.0,Skilled,1.0,1,1,yes
0<=X<200,48.0,ExistingCreditPaid,RadioOrTV,5951.0,<100,1<=X<4,2.0,DivorcedFemale,none,2.0,RealEstate,22.0,None,Own,1.0,Skilled,1.0,0,1,no
NoCheckingAccount,12.0,OtherBankCredit,Education,2096.0,<100,4<=X<7,2.0,SingleMale,none,3.0,RealEstate,49.0,None,Own,1.0,UnskilledResident,2.0,0,1,yes
<0,42.0,ExistingCreditPaid,FurnitureOrEquipment,7882.0,<100,4<=X<7,2.0,SingleMale,guarantor,4.0,LifeInsurance,45.0,None,ForFree,1.0,Skilled,2.0,0,1,yes
<0,24.0,PreviouslyDelayedPayment,NewCar,4870.0,<100,1<=X<4,3.0,SingleMale,none,4.0,NoKnownProperty,53.0,None,ForFree,2.0,Skilled,2.0,0,1,no
NoCheckingAccount,36.0,ExistingCreditPaid,Education,9055.0,NoSavings,1<=X<4,2.0,SingleMale,none,4.0,NoKnownProperty,35.0,None,ForFree,1.0,UnskilledResident,2.0,1,1,yes
NoCheckingAccount,24.0,ExistingCreditPaid,FurnitureOrEquipment,2835.0,500<=X<1000,>=7,3.0,SingleMale,none,4.0,LifeInsurance,53.0,None,Own,1.0,Skilled,1.0,0,1,yes
0<=X<200,36.0,ExistingCreditPaid,UsedCar,6948.0,<100,1<=X<4,2.0,SingleMale,none,2.0,Car,35.0,None,Rent,1.0,HighlyQualified,1.0,1,1,yes
NoCheckingAccount,12.0,ExistingCreditPaid,RadioOrTV,3059.0,>=1000,4<=X<7,2.0,DivorcedMale,none,4.0,RealEstate,61.0,None,Own,1.0,UnskilledResident,1.0,0,1,yes
0<=X<200,30.0,OtherBankCredit,NewCar,5234.0,<100,Unemployed,4.0,MarriedMale,none,2.0,Car,28.0,None,Own,2.0,HighlyQualified,1.0,0,1,no
0<=X<200,12.0,ExistingCreditPaid,NewCar,1295.0,<100,<1,3.0,DivorcedFemale,none,1.0,Car,25.0,None,Rent,1.0,Skilled,1.0,0,1,no
<0,48.0,ExistingCreditPaid,Business,4308.0,<100,<1,3.0,DivorcedFemale,none,4.0,LifeInsurance,24.0,None,Rent,1.0,Skilled,1.0,0,1,no
0<=X<200,12.0,ExistingCreditPaid,RadioOrTV,1567.0,<100,1<=X<4,1.0,DivorcedFemale,none,1.0,Car,22.0,None,Own,1.0,Skilled,1.0,1,1,yes
<0,24.0,OtherBankCredit,NewCar,1199.0,<100,>=7,4.0,SingleMale,none,4.0,Car,60.0,None,Own,2.0,UnskilledResident,1.0,0,1,no
<0,15.0,ExistingCreditPaid,NewCar,1403.0,<100,1<=X<4,2.0,DivorcedFemale,none,4.0,Car,28.0,None,Rent,1.0,Skilled,1.0,0,1,yes
<0,24.0,ExistingCreditPaid,RadioOrTV,1282.0,100<=X<500,1<=X<4,4.0,DivorcedFemale,none,2.0,Car,32.0,None,Own,1.0,UnskilledResident,1.0,0,1,no
NoCheckingAccount,24.0,OtherBankCredit,RadioOrTV,2424.0,NoSavings,>=7,4.0,SingleMale,none,4.0,LifeInsurance,53.0,None,Own,2.0,Skilled,1.0,0,1,yes
<0,30.0,NoCredits,Business,8072.0,NoSavings,<1,2.0,SingleMale,none,3.0,Car,25.0,Bank,Own,3.0,Skilled,1.0,0,1,yes
0<=X<200,24.0,ExistingCreditPaid,UsedCar,12579.0,<100,>=7,4.0,DivorcedFemale,none,2.0,NoKnownProperty,44.0,None,ForFree,1.0,HighlyQualified,1.0,1,1,no
NoCheckingAccount,24.0,ExistingCreditPaid,RadioOrTV,3430.0,500<=X<1000,>=7,3.0,SingleMale,none,2.0,Car,31.0,None,Own,1.0,Skilled,2.0,1,1,yes
NoCheckingAccount,9.0,OtherBankCredit,NewCar,2134.0,<100,1<=X<4,4.0,SingleMale,none,4.0,Car,48.0,None,Own,3.0,Skilled,1.0,1,1,yes
<0,6.0,ExistingCreditPaid,RadioOrTV,2647.0,500<=X<1000,1<=X<4,2.0,SingleMale,none,3.0,RealEstate,44.0,None,Rent,1.0,Skilled,2.0,0,1,yes
<0,10.0,OtherBankCredit,NewCar,2241.0,<100,<1,1.0,SingleMale,none,3.0,RealEstate,48.0,None,Rent,2.0,UnskilledResident,2.0,0,0,yes
0<=X<200,12.0,OtherBankCredit,UsedCar,1804.0,100<=X<500,<1,3.0,SingleMale,none,4.0,LifeInsurance,44.0,None,Own,1.0,Skilled,1.0,0,1,yes
NoCheckingAccount,10.0,OtherBankCredit,FurnitureOrEquipment,2069.0,NoSavings,1<=X<4,2.0,MarriedMale,none,1.0,Car,26.0,None,Own,2.0,Skilled,1.0,0,0,yes
<0,6.0,ExistingCreditPaid,FurnitureOrEquipment,1374.0,<100,1<=X<4,1.0,SingleMale,none,2.0,RealEstate,36.0,Bank,Own,1.0,UnskilledResident,1.0,1,1,yes
NoCheckingAccount,6.0,NoCredits,RadioOrTV,426.0,<100,>=7,4.0,MarriedMale,none,4.0,Car,39.0,None,Own,1.0,UnskilledResident,1.0,0,1,yes
>=200,12.0,AllCreditsPaid,RadioOrTV,409.0,>=1000,1<=X<4,3.0,DivorcedFemale,none,3.0,RealEstate,42.0,None,Rent,2.0,Skilled,1.0,0,1,yes
0<=X<200,7.0,ExistingCreditPaid,RadioOrTV,2415.0,<100,1<=X<4,3.0,SingleMale,guarantor,2.0,RealEstate,34.0,None,Own,1.0,Skilled,1.0,0,1,yes
<0,60.0,PreviouslyDelayedPayment,Business,6836.0,<100,>=7,3.0,SingleMale,none,4.0,NoKnownProperty,63.0,None,Own,2.0,Skilled,1.0,1,1,no
0<=X<200,18.0,ExistingCreditPaid,Business,1913.0,>=1000,<1,3.0,MarriedMale,none,3.0,RealEstate,36.0,Bank,Own,1.0,Skilled,1.0,1,1,yes
<0,24.0,ExistingCreditPaid,FurnitureOrEquipment,4020.0,<100,1<=X<4,2.0,SingleMale,none,2.0,Car,27.0,Stores,Own,1.0,Skilled,1.0,0,1,yes
0<=X<200,18.0,ExistingCreditPaid,NewCar,5866.0,100<=X<500,1<=X<4,2.0,SingleMale,none,2.0,Car,30.0,None,Own,2.0,Skilled,1.0,1,1,yes
NoCheckingAccount,12.0,OtherBankCredit,Business,1264.0,NoSavings,>=7,4.0,SingleMale,none,4.0,NoKnownProperty,57.0,None,Rent,1.0,UnskilledResident,1.0,0,1,yes
>=200,12.0,ExistingCreditPaid,FurnitureOrEquipment,1474.0,<100,<1,4.0,DivorcedFemale,none,1.0,LifeInsurance,33.0,Bank,Own,1.0,HighlyQualified,1.0,1,1,yes
