WifeAge,WifeEdu,HusbandEdu,NumChildren,WifeReligion,WifeWorking,HusbandOccupation,StandardOfLivingIndex,MediaExposure,ContraceptiveMethod
24,LevelTwo,LevelThree,3,Islam,No,LevelTwo,LevelThree,Good,no
45,LevelOne,LevelThree,10,Islam,No,LevelThree,LevelFour,Good,no
43,LevelTwo,LevelThree,7,Islam,No,LevelThree,LevelFour,Good,no
42,LevelThree,LevelTwo,9,Islam,No,LevelThree,LevelThree,Good,no
36,LevelThree,LevelThree,8,Islam,No,LevelThree,LevelTwo,Good,no
19,LevelFour,LevelFour,0,Islam,No,LevelThree,LevelThree,Good,no
38,LevelTwo,LevelThree,6,Islam,No,LevelThree,LevelTwo,Good,no
21,LevelThree,LevelThree,1,Islam,Yes,LevelThree,LevelTwo,Good,no
27,LevelTwo,LevelThree,3,Islam,No,LevelThree,LevelFour,Good,no
45,LevelOne,LevelOne,8,Islam,No,LevelTwo,LevelTwo,NotGood,no
38,LevelOne,LevelThree,2,Islam,Yes,LevelThree,LevelThree,NotGood,no
42,LevelOne,LevelFour,4,Islam,No,LevelOne,LevelThree,Good,no
44,LevelFour,LevelFour,1,Islam,Yes,LevelOne,LevelFour,Good,no
42,LevelTwo,LevelFour,1,Islam,Yes,LevelThree,LevelThree,Good,no
38,LevelThree,LevelFour,2,Islam,No,LevelTwo,LevelThree,Good,no
26,LevelTwo,LevelFour,0,Islam,No,LevelFour,LevelOne,Good,no
48,LevelOne,LevelOne,7,Islam,No,LevelTwo,LevelFour,Good,no
39,LevelTwo,LevelTwo,6,Islam,No,LevelTwo,LevelFour,Good,no
37,LevelTwo,LevelTwo,8,Islam,No,LevelTwo,LevelThree,Good,no
39,LevelTwo,LevelOne,5,Islam,No,LevelTwo,LevelOne,NotGood,no
26,LevelThree,LevelFour,1,Islam,Yes,LevelFour,LevelOne,Good,no
24,LevelThree,LevelFour,0,Islam,Yes,LevelThree,LevelOne,Good,no
46,LevelFour,LevelFour,1,NonIslam,No,LevelOne,LevelFour,Good,no
39,LevelFour,LevelFour,1,Islam,No,LevelOne,LevelFour,Good,no
48,LevelFour,LevelFour,5,Islam,No,LevelOne,LevelFour,Good,no
40,LevelTwo,LevelFour,8,Islam,No,LevelThree,LevelThree,Good,no
